"","X","n_in_2008","mean_dist_in_2008","med_dist_in_2008","n_out_2008","mean_dist_out_2008","med_dist_out_2008","n_in_2009","mean_dist_in_2009","med_dist_in_2009","n_out_2009","mean_dist_out_2009","med_dist_out_2009","n_in_2010","mean_dist_in_2010","med_dist_in_2010","n_out_2010","mean_dist_out_2010","med_dist_out_2010","n_in_2011","mean_dist_in_2011","med_dist_in_2011","n_out_2011","mean_dist_out_2011","med_dist_out_2011","n_in_2012","mean_dist_in_2012","med_dist_in_2012","n_out_2012","mean_dist_out_2012","med_dist_out_2012","n_in_2013","mean_dist_in_2013","med_dist_in_2013","n_out_2013","mean_dist_out_2013","med_dist_out_2013","n_in_2014","mean_dist_in_2014","med_dist_in_2014","n_out_2014","mean_dist_out_2014","med_dist_out_2014","n_in_2015","mean_dist_in_2015","med_dist_in_2015","n_out_2015","mean_dist_out_2015","med_dist_out_2015","n_in_2016","mean_dist_in_2016","med_dist_in_2016","n_out_2016","mean_dist_out_2016","med_dist_out_2016"
"34",34,17,1.44933377378511,1.05171584804054,13,4.06403890241907,3.52914092555181,NA,NA,NA,NA,NA,NA,13,2.63768435181014,1.89465796165449,NA,NA,NA,11,2.409319089416,2.04935183385945,NA,NA,NA,20,3.81471056677314,2.31590982424165,NA,NA,NA,15,2.45416333942424,1.37346796290313,12,1.22257362801371,0.737396233632506,10,4.39344410629336,2.13207823730963,10,2.59718623320656,1.92141849511751,14,3.12170699045104,2.53880728271176,NA,NA,NA,19,3.4257582263049,2.74196368854566,10,2.9802696817205,2.83363384531029
"35",35,NA,NA,NA,NA,NA,NA,10,7.29533701299073,6.80974520961227,NA,NA,NA,11,4.79274241184588,3.8865657500624,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6.22314553107802,5.46746324052087,NA,NA,NA,17,4.62534091267865,2.10762139402549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5.46261496182523,5.23800156144837,NA,NA,NA
"36",36,10,2.7394207552198,2.40595994997922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,28,2.43707931711178,2.3408584017395,14,2.74451340900285,2.69981515206312,15,2.48603214079148,2.56011823891602,19,3.95167906376911,2.69981515206312,15,3.50383512239946,2.03123403232852,NA,NA,NA,24,2.90483439286341,2.22574449978766,NA,NA,NA,15,3.05775112352174,2.28309806891822,15,3.50641845172695,2.83640884612075,19,3.08454379423447,3.02245817173903,16,4.26450003907473,4.17922875638362,32,2.73714786863439,2.94451713287316,15,3.21069805361168,2.71077026855655,14,3.00252779766138,2.49313380616592,13,3.70371823577921,2.69981515206312,25,3.71121280022,3.01987895816981,19,4.02642633717552,4.15690131945312
"38",38,23,3.57078230891109,2.87324396458221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.24219285524452,2.37471945029417,NA,NA,NA,12,2.20048246069167,1.86649254087784,NA,NA,NA,15,4.85490975430241,2.47351713567142,NA,NA,NA,11,4.48247217939411,3.70391126612531,NA,NA,NA
"39",39,NA,NA,NA,NA,NA,NA,10,5.64839381586747,5.530211562778,NA,NA,NA,16,2.89085063032594,1.4499931740776,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3.96207096263624,3.68135892527198,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4.42364130326204,3.0103868540965,NA,NA,NA,NA,NA,NA,10,1.39004211934884,0.626971058699979,10,3.17948416887992,1.82613764518389,NA,NA,NA
"40",40,10,4.12136429203081,2.41019751674046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2.2643209374867,0.768782916727612,NA,NA,NA,13,1.40621544598296,1.00642452804153,11,2.33163701240547,2.76007101303361,10,2.55282151394553,2.09117136440145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,19,2.75417921989649,2.06936019970257,NA,NA,NA,12,2.42662753911613,1.94903671488321,NA,NA,NA,11,4.87237921383945,3.69440359139658,NA,NA,NA,12,3.53517309252551,1.71904868526795,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3.61859151693898,1.05024478609891,NA,NA,NA,17,3.9559502473975,1.75377962014316,NA,NA,NA,10,2.55124008301477,1.92169887634242,NA,NA,NA,14,5.3678398714658,5.87923971727982,NA,NA,NA
"42",42,18,4.352499881419,2.88128320832555,NA,NA,NA,12,3.19541444162186,2.83061532266013,10,5.40162328805234,5.0126344417615,NA,NA,NA,NA,NA,NA,10,1.7931169721489,1.2751570691062,NA,NA,NA,12,4.97604787777468,2.12343910241789,NA,NA,NA,12,1.83845602292271,1.02738414172841,10,3.8480386314613,3.78056877905916,14,2.97588415958698,3.5979289581495,NA,NA,NA,15,3.29656576625157,2.58151862212671,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
